Thread Code,R,G,B
D538,212,212,181
DT540,212,211,166
DT541,216,203,106
D50001,225,191,36
DT544,226,186,63
D50002,226,186,30
D50003,224,178,27
DS544,221,179,36
D539,213,213,172
D540,215,213,156
D542,212,201,120
D544,219,191,70
D50004,221,189,76
D543,218,189,62
D50005,222,184,51
D50006,218,179,40
D50007,214,172,50
D50008,214,193,146
D50009,217,186,121
D50010,223,149,38
D50011,224,148,47
D50012,216,141,41
DT524,216,139,41
D50013,215,127,56
D50014,209,113,3
D101,212,190,189
D104,217,153,164
D1031,204,123,143
D1118,207,131,143
D1043,216,153,163
D10083,210,189,186
D1041,209,181,186
D10084,208,159,170
D106,184,103,124
D701,160,51,64
D10085,148,39,54
D10086,141,40,53
D10087,136,38,53
D10088,125,36,45
D10089,123,34,48
D10090,110,55,62
D10091,212,163,157
DT142,202,126,123
D10092,179,70,78
D10093,141,45,52
D10094,140,45,50
D10095,130,43,49
D10096,125,37,42
D10097,108,43,50
D198,90,46,48
D30074,162,186,193
D363,134,176,196
D364,109,159,188
D30075,67,129,163
D30076,65,127,163
D365,46,119,165
D30077,17,95,144
D30078,12,81,123
D30079,153,177,187
D353,123,166,190
D30080,102,152,180
D304,81,130,161
D305,53,97,129
D306,42,88,122
D307,45,76,106
D30081,49,72,99
D30082,155,182,192
D30083,132,167,183
D30084,105,153,175
D30085,73,136,166
D30086,48,115,150
D30087,32,108,147
D30088,29,91,128
D30089,35,76,105
D30090,27,69,96
D112,211,179,151
D752,193,132,96
D753,194,127,95
DT754,184,93,49
D70001,169,79,48
D755,149,71,48
D70002,197,140,95
DT753,195,128,88
D70003,178,91,56
D70004,167,79,53
D70005,163,74,51
D70006,129,56,42
D1021,212,184,169
D140,212,169,158
D141,191,123,119
D145,163,77,82
D10116,149,58,66
D10117,132,44,45
D117,196,150,148
D706,183,127,120
D708,165,84,85
D1026,137,56,58
D1027,138,53,54
D1028,122,50,57
D1029,116,50,56
D20075,183,171,140
D20076,156,142,109
D20077,155,134,100
D20078,124,107,78
D285,110,96,68
D06F,189,177,139
D560,188,171,119
D561,173,149,99
