Pantone Color,Pantone RGB,Matched Thread Code,Matched RGB,Distance
PANTONE  100 C,"(245, 234, 99)",D573,"(214, 221, 89)",35.07135583350036
PANTONE  101 C,"(246, 232, 71)",D50127,"(234, 202, 74)",32.449961479175904
PANTONE  102 C,"(252, 227, 0)",D50086,"(203, 236, 5)",50.06995106848019
PANTONE  103 C,"(196, 168, 0)",D20085,"(190, 175, 23)",24.779023386727733
PANTONE  104 C,"(174, 152, 0)",D20085,"(190, 175, 23)",36.24913792078372
PANTONE  105 C,"(137, 121, 39)",D2835,"(134, 113, 49)",13.152946437965905
PANTONE  106 C,"(249, 228, 72)",D50127,"(234, 202, 74)",30.083217912982647
PANTONE  107 C,"(251, 225, 34)",D574,"(214, 224, 48)",39.57271787481876
PANTONE  108 C,"(253, 218, 0)",D50002,"(226, 186, 30)",51.507281038703645
PANTONE  109 C,"(255, 210, 0)",D50002,"(226, 186, 30)",48.13522618623496
PANTONE  110 C,"(218, 170, 0)",D50055,"(225, 169, 8)",10.677078252031311
PANTONE  111 C,"(169, 138, 0)",D50110,"(171, 114, 33)",40.85339643163099
PANTONE  112 C,"(156, 131, 18)",D50110,"(171, 114, 33)",27.184554438136374
PANTONE  113 C,"(249, 223, 83)",D50127,"(234, 202, 74)",27.331300737432898
PANTONE  114 C,"(251, 221, 65)",D50127,"(234, 202, 74)",27.03701166919155
PANTONE  115 C,"(252, 217, 36)",D50001,"(225, 191, 36)",37.48332962798263
PANTONE  116 C,"(255, 205, 0)",D50102,"(224, 180, 22)",45.4972526643093
PANTONE  117 C,"(201, 151, 0)",D41B13,"(223, 156, 8)",23.93741840717165
PANTONE  118 C,"(172, 132, 0)",D50110,"(171, 114, 33)",37.603191353926334
PANTONE  119 C,"(136, 115, 34)",D50118,"(135, 101, 39)",14.89966442575134
PANTONE  120 C,"(250, 218, 99)",D50127,"(234, 202, 74)",33.71943060017473
PANTONE  1205 C,"(248, 223, 142)",D540,"(215, 213, 156)",37.21558813185679
PANTONE  121 C,"(253, 214, 86)",D50127,"(234, 202, 74)",25.475478405713993
PANTONE  1215 C,"(251, 215, 114)",DT541,"(216, 203, 106)",37.8549864614954
PANTONE  122 C,"(255, 209, 65)",D50127,"(234, 202, 74)",23.895606290697042
PANTONE  1225 C,"(255, 200, 71)",D50127,"(234, 202, 74)",21.307275752662516
PANTONE  123 C,"(255, 199, 45)",D10157,"(255, 171, 56)",30.083217912982647
PANTONE  1235 C,"(255, 183, 26)",D50002,"(226, 186, 30)",29.427877939124322
PANTONE  124 C,"(234, 170, 0)",D50055,"(225, 169, 8)",12.083045973594572
PANTONE  1245 C,"(198, 147, 22)",D50095,"(196, 144, 37)",15.427248620541512
PANTONE  125 C,"(182, 132, 0)",D50014,"(209, 113, 3)",33.15116890850155
PANTONE  1255 C,"(172, 132, 30)",D50110,"(171, 114, 33)",18.275666882497067
PANTONE  126 C,"(154, 118, 17)",D50110,"(171, 114, 33)",23.68543856465402
PANTONE  1265 C,"(136, 108, 37)",D50118,"(135, 101, 39)",7.3484692283495345
PANTONE  127 C,"(244, 220, 110)",DT541,"(216, 203, 106)",33.0
PANTONE  128 C,"(243, 212, 79)",D50127,"(234, 202, 74)",14.352700094407323
PANTONE  129 C,"(244, 207, 65)",D50127,"(234, 202, 74)",14.352700094407323
PANTONE  130 C,"(246, 168, 0)",D50055,"(225, 169, 8)",22.494443758403985
PANTONE  131 C,"(205, 137, 0)",D50014,"(209, 113, 3)",24.515301344262525
PANTONE  132 C,"(161, 116, 0)",D50110,"(171, 114, 33)",34.539832078341085
PANTONE  133 C,"(108, 87, 28)",D289,"(95, 85, 50)",25.632011235952593
PANTONE  134 C,"(254, 210, 112)",DT541,"(216, 203, 106)",39.102429592034305
PANTONE  1345 C,"(253, 207, 135)",D521,"(214, 195, 129)",41.24318125460256
PANTONE  135 C,"(255, 198, 89)",D50127,"(234, 202, 74)",26.115129714401192
PANTONE  1355 C,"(255, 197, 111)",D522,"(220, 185, 103)",37.8549864614954
PANTONE  136 C,"(255, 191, 64)",D10157,"(255, 171, 56)",21.540659228538015
PANTONE  1365 C,"(255, 180, 73)",D10157,"(255, 171, 56)",19.235384061671343
PANTONE  137 C,"(255, 163, 0)",D50125,"(227, 159, -12)",30.72458299147443
PANTONE  1375 C,"(255, 157, 28)",D50028,"(228, 151, 33)",28.106938645110393
PANTONE  138 C,"(223, 123, 0)",D50081,"(220, 117, -12)",13.74772708486752
PANTONE  1385 C,"(215, 121, 0)",D50014,"(209, 113, 3)",10.44030650891055
PANTONE  139 C,"(174, 109, 1)",D50110,"(171, 114, 33)",32.526911934581186
PANTONE  1395 C,"(153, 95, 22)",D50106,"(146, 89, 42)",22.02271554554524
PANTONE  140 C,"(115, 82, 28)",D516,"(130, 84, 46)",23.515952032609693
PANTONE  1405 C,"(110, 75, 30)",D70080,"(126, 66, 43)",22.494443758403985
PANTONE  141 C,"(243, 198, 92)",D50127,"(234, 202, 74)",20.518284528683193
PANTONE  142 C,"(244, 189, 73)",D50127,"(234, 202, 74)",16.431676725154983
PANTONE  143 C,"(242, 179, 52)",D10157,"(255, 171, 56)",15.7797338380595
PANTONE  144 C,"(240, 137, 0)",D41B13,"(223, 156, 8)",26.720778431774775
PANTONE  145 C,"(210, 126, 0)",D50014,"(209, 113, 3)",13.379088160259652
